label,hand,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
A,right,0,0,0,-0.213606355,-0.149783803,-0.081392726,-0.313854651,-0.485706328,-0.108212459,-0.304347763,-0.775303173,-0.132853482,-0.325592265,-1,-0.145785191,-0.159839467,-0.687985616,-0.039319731,-0.146066615,-0.847995411,-0.15080707,-0.146068893,-0.60506604,-0.210029227,-0.145941328,-0.406959424,-0.2279115,-0.003777863,-0.659776203,-0.037881505,-0.008281769,-0.78662175,-0.164735766,-0.032614332,-0.490835114,-0.195835008,-0.044291477,-0.285504419,-0.182155694,0.140046222,-0.602310247,-0.053887135,0.124404422,-0.714971049,-0.185707718,0.070880652,-0.422250627,-0.156050685,0.037099393,-0.220558531,-0.095354556,0.273139543,-0.52814356,-0.074881766,0.248172676,-0.626974562,-0.165546856,0.180575367,-0.41414074,-0.133639825,0.1368132,-0.260189235,-0.080899661
A,right,0,0,0,-0.213118924,-0.142252822,-0.083231128,-0.311706124,-0.4806267,-0.109719657,-0.299611756,-0.77304707,-0.133268137,-0.326119112,-1,-0.145291724,-0.163011437,-0.6800359,-0.043328306,-0.146283554,-0.842332586,-0.155940356,-0.145846238,-0.597981312,-0.214293712,-0.144588724,-0.40227998,-0.231400598,-0.00603487,-0.651337827,-0.04107597,-0.009360785,-0.784556143,-0.169839685,-0.03536853,-0.487012581,-0.199885483,-0.045371525,-0.282984871,-0.184913575,0.138660441,-0.593096129,-0.056378717,0.12315137,-0.710119598,-0.190389758,0.067515041,-0.417070368,-0.159276231,0.035600744,-0.216924168,-0.097111151,0.273250309,-0.520119302,-0.076635683,0.244301395,-0.621461093,-0.168510276,0.176186986,-0.406992762,-0.135785779,0.135882567,-0.25358995,-0.082325672
A,right,0,0,0,-0.213144555,-0.147158969,-0.086822331,-0.308749354,-0.482593655,-0.116191325,-0.297464419,-0.772758049,-0.141490138,-0.324471437,-1,-0.154728335,-0.165125635,-0.682902224,-0.050456234,-0.14483265,-0.839536757,-0.1645639,-0.142564228,-0.594029417,-0.222544062,-0.142997891,-0.399206548,-0.239165748,-0.007563814,-0.65529941,-0.047056029,-0.005683852,-0.782485843,-0.177583782,-0.029980942,-0.484387442,-0.208101243,-0.042413297,-0.283053954,-0.193574222,0.137925006,-0.596871136,-0.060909525,0.127927643,-0.705065367,-0.196548662,0.073781093,-0.411567899,-0.165387544,0.039118203,-0.214052337,-0.103162986,0.271395318,-0.522983227,-0.07985995,0.251001607,-0.618899494,-0.172921365,0.183716787,-0.404019359,-0.139929449,0.139385754,-0.252350792,-0.086094853
A,right,0,0,0,-0.211474108,-0.145317775,-0.086863671,-0.309555541,-0.482533925,-0.116508318,-0.298079741,-0.773417725,-0.141585498,-0.325325948,-1,-0.154557062,-0.162208451,-0.686258971,-0.054442891,-0.142918819,-0.843879494,-0.16852758,-0.139702401,-0.599587124,-0.226469524,-0.139488084,-0.402486643,-0.243142736,-0.005487278,-0.656967979,-0.050736633,-0.00499181,-0.783608031,-0.182231542,-0.030025943,-0.484794576,-0.213242066,-0.044376159,-0.279681828,-0.199120929,0.139013862,-0.596939608,-0.063846458,0.12649762,-0.705756939,-0.200165419,0.071716632,-0.411451893,-0.170346265,0.035768587,-0.210049173,-0.109111905,0.271329622,-0.52236073,-0.081917087,0.247936392,-0.61447004,-0.177305289,0.178396561,-0.396857037,-0.146506904,0.132238202,-0.241567812,-0.093975608
A,right,0,0,0,-0.211461105,-0.162616112,-0.079233633,-0.303732811,-0.492049426,-0.105838075,-0.291274431,-0.777379926,-0.130348853,-0.320656755,-1,-0.143297806,-0.15425468,-0.686836653,-0.037958449,-0.140266479,-0.845969658,-0.147156756,-0.136275524,-0.603228719,-0.204733917,-0.134721005,-0.410374814,-0.221762196,0.002713462,-0.657876249,-0.036222575,-0.001223157,-0.780726269,-0.160308886,-0.024896797,-0.486841283,-0.190966079,-0.039688294,-0.28488666,-0.178181765,0.146030322,-0.597759912,-0.051189452,0.129684306,-0.707833156,-0.180216694,0.076933566,-0.419183584,-0.149997656,0.041789457,-0.217715816,-0.089932174,0.277105318,-0.520294521,-0.070917654,0.251407284,-0.620331105,-0.15979952,0.183230109,-0.409653845,-0.127230669,0.1382497,-0.253930574,-0.074529504
A,right,0,0,0,-0.215063817,-0.147336057,-0.080863635,-0.313020801,-0.482704749,-0.107228631,-0.299665133,-0.77387663,-0.131232753,-0.324802226,-1,-0.144002003,-0.167101645,-0.677486456,-0.040943316,-0.150144875,-0.83673072,-0.155088399,-0.1474775,-0.597809708,-0.216351159,-0.145056254,-0.399702145,-0.235151274,-0.010242078,-0.648872978,-0.039856097,-0.01284152,-0.783568632,-0.168596286,-0.037400661,-0.490401485,-0.200332026,-0.046664,-0.283734801,-0.186953618,0.134714031,-0.591101108,-0.056170336,0.117504523,-0.705089808,-0.190235417,0.064009168,-0.415783108,-0.160302744,0.033789442,-0.213244579,-0.098830401,0.269467088,-0.518804141,-0.077352374,0.238282456,-0.624801348,-0.169159758,0.171866497,-0.412815916,-0.136078121,0.13347161,-0.257014999,-0.082373997
A,right,0,0,0,-0.209940538,-0.14431122,-0.08412381,-0.312721908,-0.479561257,-0.112217638,-0.305832166,-0.770979574,-0.136483881,-0.326462386,-1,-0.148110424,-0.165626637,-0.685273278,-0.050453344,-0.147494045,-0.84633466,-0.160384079,-0.144834377,-0.606186068,-0.215641128,-0.145555365,-0.403371486,-0.230767225,-0.008196442,-0.65626165,-0.047090278,-0.01005628,-0.786364942,-0.174584939,-0.032458159,-0.491555491,-0.203715803,-0.046218347,-0.280616877,-0.18825337,0.137367015,-0.59814399,-0.060347139,0.123226518,-0.710050995,-0.193192164,0.071765809,-0.419314764,-0.163912512,0.03587139,-0.213626499,-0.102891215,0.271322251,-0.524424355,-0.078276078,0.246911772,-0.627169312,-0.170970299,0.180625887,-0.416125091,-0.139938399,0.136203475,-0.260031266,-0.087210586
A,right,0,0,0,-0.214615891,-0.140685397,-0.084867476,-0.314750523,-0.48087681,-0.111743498,-0.303999863,-0.774661746,-0.135144351,-0.331523985,-1,-0.146580558,-0.164919595,-0.67980612,-0.047660368,-0.146500653,-0.841474589,-0.161981037,-0.145100588,-0.596306621,-0.220593745,-0.143480354,-0.397318129,-0.237375639,-0.007585098,-0.648721311,-0.044881846,-0.007356444,-0.781576299,-0.176726192,-0.031958143,-0.480991343,-0.207391484,-0.043271436,-0.276271816,-0.192335059,0.136429747,-0.590427011,-0.059582396,0.123986636,-0.704963417,-0.196176572,0.06968519,-0.409827457,-0.165339971,0.036002314,-0.209489701,-0.102873833,0.269644477,-0.519581377,-0.079290549,0.247568937,-0.61929212,-0.17274922,0.180311202,-0.403828037,-0.140240097,0.137158749,-0.250838583,-0.086690609
A,right,0,0,0,-0.212141718,-0.157529723,-0.07856483,-0.310911623,-0.488833444,-0.105199503,-0.301170397,-0.774796469,-0.130054396,-0.326390068,-1,-0.143252883,-0.162534838,-0.684900152,-0.036952896,-0.148597161,-0.845257305,-0.148169344,-0.14719193,-0.603182153,-0.207259337,-0.148290498,-0.407525468,-0.22506515,-0.005037395,-0.657883333,-0.037193968,-0.008294403,-0.783170022,-0.162783796,-0.033289974,-0.488389589,-0.193961901,-0.048345669,-0.284152427,-0.181056912,0.139500094,-0.59930561,-0.054517619,0.12350744,-0.708111921,-0.185266295,0.070528708,-0.416085564,-0.155607023,0.035276459,-0.215032882,-0.095584701,0.272546387,-0.522638559,-0.076561222,0.245708351,-0.619203673,-0.167737192,0.180016735,-0.406263222,-0.13604771,0.1370592,-0.253496925,-0.083626972
A,right,0,0,0,-0.214084842,-0.140062387,-0.084169792,-0.314085242,-0.476468381,-0.111812416,-0.302277765,-0.771528158,-0.136145445,-0.32753252,-1,-0.148790156,-0.168355125,-0.678667943,-0.047985457,-0.148646773,-0.840508533,-0.165111954,-0.145731572,-0.599420793,-0.226646837,-0.143505283,-0.396740489,-0.244937529,-0.010689762,-0.650695874,-0.045315276,-0.009934369,-0.78158022,-0.181631961,-0.035266615,-0.480814902,-0.21489931,-0.046171194,-0.270215648,-0.200662153,0.134962656,-0.592936487,-0.059975725,0.121523689,-0.704227888,-0.200889604,0.067503142,-0.407977162,-0.171510302,0.035913976,-0.202555132,-0.108449091,0.269770328,-0.522152809,-0.079296246,0.241869414,-0.618923988,-0.176497548,0.176418463,-0.401183615,-0.145087011,0.13810971,-0.246094087,-0.091077345
